sample;pair;file
A1;1;/Home/fastq/A1/A1_S1_L001_R1_001.fastq.gz
A1;2;/Home/fastq/A1/A1_S1_L002_R1_001.fastq.gz
A4;3;/Home/fastq/A4/A4_S2_L001_R1_001.fastq.gz
A4;4;/Home/fastq/A4/A4_S2_L002_R1_001.fastq.gz
A7;5;/Home/fastq/A7/A7_S3_L001_R1_001.fastq.gz
A7;6;/Home/fastq/A7/A7_S3_L002_R1_001.fastq.gz
B1;7;/Home/fastq/B1/B1_S4_L001_R1_001.fastq.gz
B1;8;/Home/fastq/B1/B1_S4_L002_R1_001.fastq.gz
B4;9;/Home/fastq/B4/B4_S5_L001_R1_001.fastq.gz
B4;10;/Home/fastq/B4/B4_S5_L002_R1_001.fastq.gz
B7;11;/Home/fastq/B7/B7_S6_L001_R1_001.fastq.gz
B7;12;/Home/fastq/B7/B7_S6_L002_R1_001.fastq.gz
C3;13;/Home/fastq/C3/C3_S7_L001_R1_001.fastq.gz
C3;14;/Home/fastq/C3/C3_S7_L002_R1_001.fastq.gz
C4;15;/Home/fastq/C4/C4_S8_L001_R1_001.fastq.gz
C4;16;/Home/fastq/C4/C4_S8_L002_R1_001.fastq.gz
C7;17;/Home/fastq/C7/C7_S9_L001_R1_001.fastq.gz
C7;18;/Home/fastq/C7/C7_S9_L002_R1_001.fastq.gz
V2_1;19;/Home/fastq/V2_1/V2_1_S34_L001_R1_001.fastq.gz
V2_1;20;/Home/fastq/V2_1/V2_1_S34_L002_R1_001.fastq.gz
V_2_4;21;/Home/fastq/V_2_4/V_2_4_S38_L001_R1_001.fastq.gz
V_2_4;22;/Home/fastq/V_2_4/V_2_4_S38_L002_R1_001.fastq.gz
V_2_7;23;/Home/fastq/V_2_7/V_2_7_S39_L001_R1_001.fastq.gz
V_2_7;24;/Home/fastq/V_2_7/V_2_7_S39_L002_R1_001.fastq.gz
VI_2_1;25;/Home/fastq/VI_2_1/VI_2_1_S35_L001_R1_001.fastq.gz
VI_2_1;26;/Home/fastq/VI_2_1/VI_2_1_S35_L002_R1_001.fastq.gz
VI_2_4;27;/Home/fastq/VI_2_4/VI_2_4_S36_L001_R1_001.fastq.gz
VI_2_4;28;/Home/fastq/VI_2_4/VI_2_4_S36_L002_R1_001.fastq.gz
VI_2_7;29;/Home/fastq/VI_2_7/VI_2_7_S37_L001_R1_001.fastq.gz
VI_2_7;30;/Home/fastq/VI_2_7/VI_2_7_S37_L002_R1_001.fastq.gz
X_2_1;31;/Home/fastq/X_2_1/X_2_1_S40_L001_R1_001.fastq.gz
X_2_1;32;/Home/fastq/X_2_1/X_2_1_S40_L002_R1_001.fastq.gz
X_2_4;33;/Home/fastq/X_2_4/X_2_4_S41_L001_R1_001.fastq.gz
X_2_4;34;/Home/fastq/X_2_4/X_2_4_S41_L002_R1_001.fastq.gz
X_2_8;35;/Home/fastq/X_2_8/X_2_8_S42_L001_R1_001.fastq.gz
X_2_8;36;/Home/fastq/X_2_8/X_2_8_S42_L002_R1_001.fastq.gz
