sample;pH;depth;colony;file
A1;8.2;Shallow;a;/HOME1/STAR-spis/A1.starReadsPerGene.out.tab
A4;7.8;Shallow;a;/HOME1/STAR-spis/A4.starReadsPerGene.out.tab
A7;7.6;Shallow;a;/HOME1/STAR-spis/A7.starReadsPerGene.out.tab
B1;8.2;Shallow;b;/HOME1/STAR-spis/B1.starReadsPerGene.out.tab
B4;7.8;Shallow;b;/HOME1/STAR-spis/B4.starReadsPerGene.out.tab
B7;7.6;Shallow;b;/HOME1/STAR-spis/B7.starReadsPerGene.out.tab
C3;8.2;Shallow;c;/HOME1/STAR-spis/C3.starReadsPerGene.out.tab
C4;7.8;Shallow;c;/HOME1/STAR-spis/C4.starReadsPerGene.out.tab
C7;7.6;Shallow;c;/HOME1/STAR-spis/C7.starReadsPerGene.out.tab
V2_1;8.2;Mesophotic;v;/HOME1/STAR-spis/V2_1.starReadsPerGene.out.tab
VI_2_1;8.2;Mesophotic;vi;/HOME1/STAR-spis/VI_2_1.starReadsPerGene.out.tab
VI_2_4;7.8;Mesophotic;vi;/HOME1/STAR-spis/VI_2_4.starReadsPerGene.out.tab
VI_2_7;7.6;Mesophotic;vi;/HOME1/STAR-spis/VI_2_7.starReadsPerGene.out.tab
V_2_4;7.8;Mesophotic;v;/HOME1/STAR-spis/V_2_4.starReadsPerGene.out.tab
V_2_7;7.6;Mesophotic;v;/HOME1/STAR-spis/V_2_7.starReadsPerGene.out.tab
X_2_1;8.2;Mesophotic;x;/HOME1/STAR-spis/X_2_1.starReadsPerGene.out.tab
X_2_4;7.8;Mesophotic;x;/HOME1/STAR-spis/X_2_4.starReadsPerGene.out.tab
X_2_8;7.6;Mesophotic;x;/HOME1/STAR-spis/X_2_8.starReadsPerGene.out.tab
